EPC,Stock Code
E2 80 11 70 00 00 02 0A 7A 6B 6A E1,FR0207001
E2 80 11 70 00 00 02 0A 7A 6A 9A 21,FR0207002
E2 80 11 70 00 00 02 0A 7A 6A 9A C0,FR0207003
E2 80 11 70 00 00 02 0A 7A 6A 44 50,FR0207004
E2 80 11 70 00 00 02 0A 7A 6A AC 60,FR0207005
E2 80 11 70 00 00 02 0A 7A 6A 3A D1,FR0207006
E2 80 11 70 00 00 02 0A 7A 6B 63 9F,FR0207007
E2 80 11 70 00 00 02 0A 7A 6B 03 9F,FR0207008
E2 80 11 70 00 00 02 0A 7A 69 EC 40,FR0207009
E2 80 11 70 00 00 02 0A 7A 6B 49 EF,FR0207010
E2 80 11 70 00 00 02 0A 7A 6B 6A 32,FR0207011
E2 80 11 70 00 00 02 0A 7A 6B 02 20,FR0207012
E2 80 11 70 00 00 02 0A 7A 6A 9A C1,FR0207013
E2 80 11 70 00 00 02 0A 7A 6B 48 F1,FR0207014
E2 80 11 70 00 00 02 0A 7A 6A 3A E1,FR0207015
E2 80 11 70 00 00 02 0A 7A 6B 14 A0,FR0207016
E2 80 11 70 00 00 02 0A 7A 6A 18 10,FR0207017
E2 80 11 70 00 00 02 0A 7A 6B A8 41,FR0207018
E2 80 11 70 00 00 02 0A 7A 6B 48 82,FR0207019
E2 80 11 70 00 00 02 0A 7A 6B 7C 00,FR0207020
E2 80 11 70 00 00 02 0A 7A 6B 48 90,FR0207021
E2 80 11 70 00 00 02 0A 7A 6B 6A E2,FR0207022
E2 80 11 70 00 00 02 0A 7A 6A 44 81,FR0207023
E2 80 11 70 00 00 02 0A 7A 6B 48 80,FR0207024
E2 80 11 70 00 00 02 0A 7A 6B A8 80,FR0207025
E2 80 11 70 00 00 02 0A 7A 6A 3A 01,FR0207026
E2 80 11 70 00 00 02 0A 7A 6A E0 61,FR0207027
E2 80 11 70 00 00 02 0A 7A 6A E0 70,FR0207028
E2 80 11 70 00 00 02 0A 7A 69 EC A1,FR0207029
E2 80 11 70 00 00 02 0A 7A 6A E0 60,FR0207030
E2 80 11 70 00 00 02 0A 7A 6B 6A 42,FR0207031
E2 80 11 70 00 00 02 0A 7A 6B 02 B1,FR0207032
E2 80 11 70 00 00 02 0A 7A 6B 03 76,FR0207033
E2 80 11 70 00 00 02 0A 7A 69 EC 91,FR0207034
E2 80 11 70 00 00 02 0A 7A 6B A8 82,FR0207035
E2 80 11 70 00 00 02 0A 7A 6B A8 90,FR0207036
E2 80 11 70 00 00 02 0A 7A 6A E0 51,FR0207037
E2 80 11 70 00 00 02 0A 7A 6B 63 8F,FR0207038
E2 80 11 70 00 00 02 0A 7A 6A 78 10,FR0207039
E2 80 11 70 00 00 02 0A 7A 6B 14 B0,FR0207040
E2 80 11 70 00 00 02 0A 7A 6A 3A A0,FR0207041
E2 80 11 70 00 00 02 0A 7A 6B 02 01,FR0207042
E2 80 11 70 00 00 02 0A 7A 6B 02 D0,FR0207043
E2 80 11 70 00 00 02 0A 7A 6B 1D EF,FR0207044
E2 80 11 70 00 00 02 0A 7A 6B 7C C2,FR0207045
