ID			EPC	
 0 	 E2 80 69 15 00 00 70 0B 40 A7 49 95	 
 1 	 E2 80 69 15 00 00 70 0B 40 A7 3D 95	
 2 	 E2 80 69 15 00 00 70 0B 40 A7 79 95	 
 3 	 E2 80 69 15 00 00 60 0B 40 A7 7D 95	 
 4 	 E2 80 69 15 00 00 70 0B 40 A7 6D 95	 
 5 	 E2 80 69 15 00 00 70 0B 40 A7 89 95	 
 6 	 E2 80 69 15 00 00 60 0B 40 A7 2D 95	 
 7 	 E2 80 69 15 00 00 60 0B 40 A7 4D 95	
 8 	 E2 80 69 15 00 00 60 0B 40 A7 69 95		
 9 	 E2 80 69 15 00 00 60 0B 40 A7 39 95	 	
 10 	 E2 80 69 15 00 00 70 0B 40 A7 29 95	
 11 	 E2 80 69 15 00 00 60 0B 40 A7 8D 95	
 12 	 E2 80 69 15 00 00 60 0B 40 A7 59 95	
